time	Freq	W	B2	B1
2022-04-20, 15:36:16	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:18	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:20	1500 Hz	16 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:22	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:24	1500 Hz	16 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:26	1500 Hz	16 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:28	1500 Hz	16 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:30	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:32	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:34	1500 Hz	16 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:36	1500 Hz	16 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:38	1500 Hz	16 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:40	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:42	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:44	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:46	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:48	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:50	1500 Hz	16 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:52	1500 Hz	16 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:54	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:56	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:58	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:00	1500 Hz	16 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:02	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:04	1500 Hz	15 W	5,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:06	1500 Hz	15 W	5,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:08	1500 Hz	15 W	5,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:37:10	1500 Hz	15 W	5,2E-6 mbar	1,5E-4 mbar
